nombre,codigo,stock,precio,categoria,descripcion,proveedor,ubicacion
Filtro de aceite,RE504836,3,,Filtros,Filtro de aceite para motor,John Deere,Estantería inferior
Filtro de combustible,RE522878,6,,Filtros,Filtro de combustible,John Deere,Estantería superior
Filtro de aire,RE187966,1,,Filtros,Filtro de aire,John Deere,
Junta,AN208074,1,,Juntas y Sellos,Junta,John Deere,
Kit de sellado,3430-0589,1,,Juntas y Sellos,Kit de sellado,John Deere,
Electroválvula,AKK22536,1,,Eléctricos,Electroválvula,John Deere,
Filtro hidráulico,AN207368,1,,Filtros,Filtro hidráulico,John Deere,
Kit de sellado,3430-0748,2,,Juntas y Sellos,Kit de sellado,John Deere,
Cojinete axial,2029-0014,1,,Rodamientos,Cojinete axial,John Deere,
Sello mecánico,2190-0009,2,,Juntas y Sellos,Sello mecánico,John Deere,
Impulsor de nylon,,2,,Bombas,Impulsor de nylon,John Deere,
Tuerca ciega,,5,,Tornillería,Tuerca ciega,John Deere,
Rótula de dirección,AN204654,1,,Dirección,Rótula de dirección,John Deere,
Filtro hidráulico,AN203010,5,,Filtros,Filtro hidráulico,John Deere,
Kit repuesto motobomba,,1,,Bombas,Kit de repuesto para motobomba,John Deere,
Bujía,F7TC FOR W7DC,2,,Eléctricos,Bujía,Honda,
Kit repuesto carburador,CTS-HON,2,,Motor,Kit de repuesto para carburador,Honda,
Acople leva-ranura Kramlock,,2,,Acoples,Acople leva-ranura Kramlock,John Deere,
Bomba de carga,5PL15266,1,,Bombas,Bomba de carga,John Deere,
Correa,CQ58873,1,,Transmisión,Correa,John Deere,
Filtro de combustible,RE62419,6,,Filtros,Filtro de combustible,John Deere,Estantería inferior
Filtro de aceite,90915-YZZD2,2,,Filtros,Filtro de aceite para motor,Toyota,
Filtro de combustible,23390-0L100,2,,Filtros,Filtro de combustible,Toyota,
Refinador de aire,87139-0K080,2,,Filtros,Refinador de aire,Toyota,
Filtro de aire,17801-0L040,2,,Filtros,Filtro de aire,Toyota,
Filtro de aire,RE509672,3,,Filtros,Filtro de aire JD 8270R,John Deere,Estantería superior
Filtro de combustible,RE525523,3,,Filtros,Filtro de combustible JD 8270R,John Deere,Estantería superior
Correa,R551298,1,,Transmisión,Correa JD 8270R,John Deere,
Filtro hidráulico,RE210857,1,,Filtros,Filtro hidráulico JD 8270R,John Deere,
Filtro hidráulico,RE573817,2,,Filtros,Filtro hidráulico JD 8270R,John Deere,Estantería superior
Filtro combustible,P502392,1,,Filtros,Filtro combustible JD 8270R,John Deere,
Filtro de aceite,RE572785,3,,Filtros,Filtro de aceite JD 8400,John Deere,
Filtro de combustible,DZ112918,6,,Filtros,Filtro de combustible JD 8400,John Deere,Estantería superior
Filtro de aire,AXE27449,2,,Filtros,Filtro de aire JD 8400,John Deere,
Filtro de aire,AXE27447,1,,Filtros,Filtro de aire JD 8400,John Deere,
Bomba manual,RE50467,1,,Bombas,Bomba manual JD 8400,John Deere,
Filtro de combustible,RE60021,1,,Filtros,Filtro de combustible JD 8400,John Deere,
Filtro de combustible,T19044,2,,Filtros,Filtro de combustible JD 8400,John Deere,
Filtro de combustible,RE509036,5,,Filtros,Filtro de combustible JD 7815AM,John Deere,
Separador de agua,RE509032,1,,Filtros,Separador de agua JD 7815AM,John Deere,Cofre
Filtro,RE205726,1,,Filtros,Filtro JD 7815AM,John Deere,
Retén hidráulico,CQ24385,1,,Juntas y Sellos,Retén hidráulico JD 7505,John Deere,
Tapa,DQ27167,1,,Motor,Tapa JD 7505,John Deere,
Tensor móvil,AL112300,1,,Transmisión,Tensor móvil JD 7505,John Deere,
